dataset1,dataset2,e0,e2
large_aws/Combo_001.csv,medium/diagonal_001.csv,1.729715809,0.883319766
large_aws/Combo_002.csv,medium/diagonal_001.csv,1.903677461,1.038461065
large_aws/Combo_003.csv,medium/diagonal_001.csv,1.691741383,1.227625182
large_aws/Combo_004.csv,medium/diagonal_001.csv,1.729715809,1.129967272
large_aws/Combo_005.csv,medium/diagonal_001.csv,1.670043972,1.083390143
large_aws/Combo_006.csv,medium/diagonal_001.csv,1.606025239,0.979700456
large_aws/Combo_007.csv,medium/diagonal_001.csv,1.903677461,0.703342103
large_aws/Combo_008.csv,medium/diagonal_001.csv,1.903677461,1.128058972
large_aws/Combo_009.csv,medium/diagonal_001.csv,1.903677461,1.084590151
large_aws/Combo_010.csv,medium/diagonal_001.csv,1.589059679,0.645699789
large_aws/Combo_011.csv,medium/diagonal_001.csv,1.850219859,0.841419141
large_aws/Combo_012.csv,medium/diagonal_001.csv,1.79248125,0.882512267
large_aws/Combo_013.csv,medium/diagonal_001.csv,1.729715809,0.903958203
large_aws/Combo_014.csv,medium/diagonal_001.csv,1.584962501,1.048744951
large_aws/Combo_015.csv,medium/diagonal_001.csv,1.729715809,1.052696355
large_aws/Combo_016.csv,medium/diagonal_001.csv,1.903677461,0.725375214
large_aws/Combo_017.csv,medium/diagonal_001.csv,1.903677461,1.099893083
large_aws/Combo_018.csv,medium/diagonal_001.csv,1.903677461,1.122449483
large_aws/Diagonal_001.csv,medium/diagonal_001.csv,1.487833835,0.990598807
large_aws/Diagonal_002.csv,medium/diagonal_001.csv,1.487833835,1.004265319
large_aws/Diagonal_003.csv,medium/diagonal_001.csv,1.658431662,0.999165522
large_aws/Diagonal_004.csv,medium/diagonal_001.csv,1.487833835,0.993616732
large_aws/Diagonal_005.csv,medium/diagonal_001.csv,1.658431662,0.97895001
large_aws/Diagonal_006.csv,medium/diagonal_001.csv,1.574399286,1.002245379
large_aws/Diagonal_enx_001.csv,medium/diagonal_001.csv,1.550496636,0.992495279
large_aws/Diagonal_enx_002.csv,medium/diagonal_001.csv,1.4917069,0.95951727
large_aws/Diagonal_enx_003.csv,medium/diagonal_001.csv,1.658431662,0.97463218
large_aws/Diagonal_enx_004.csv,medium/diagonal_001.csv,1.487833835,0.992775284
large_aws/Diagonal_enx_005.csv,medium/diagonal_001.csv,1.658431662,0.989230152
large_aws/Diagonal_enx_006.csv,medium/diagonal_001.csv,1.487833835,0.949974054
large_aws/Diagonal_eny_001.csv,medium/diagonal_001.csv,1.487833835,0.985825489
large_aws/Diagonal_eny_002.csv,medium/diagonal_001.csv,1.511853558,0.69786746
large_aws/Diagonal_eny_003.csv,medium/diagonal_001.csv,1.589587108,0.655198236
large_aws/Diagonal_eny_004.csv,medium/diagonal_001.csv,1.4917069,0.811047817
large_aws/Diagonal_eny_005.csv,medium/diagonal_001.csv,1.618451703,0.954071931
large_aws/Diagonal_eny_006.csv,medium/diagonal_001.csv,1.574399286,0.989150664
large_aws/DiagonalRot_001.csv,medium/diagonal_001.csv,1.632192809,0.925555672
large_aws/DiagonalRot_002.csv,medium/diagonal_001.csv,1.309473751,0.548013155
large_aws/DiagonalRot_003.csv,medium/diagonal_001.csv,1.729715809,0.941039842
large_aws/DiagonalRot_004.csv,medium/diagonal_001.csv,1.309473751,0.566872321
large_aws/DiagonalRot_005.csv,medium/diagonal_001.csv,1.508081753,0.580923718
large_aws/DiagonalRot_enx_002.csv,medium/diagonal_001.csv,1.309473751,1.016552487
large_aws/DiagonalRot_enx_003.csv,medium/diagonal_001.csv,1.79248125,0.937235139
large_aws/DiagonalRot_enx_004.csv,medium/diagonal_001.csv,1.309473751,0.528853977
large_aws/DiagonalRot_enx_005.csv,medium/diagonal_001.csv,1.79248125,0.913210529
large_aws/DiagonalRot_enx_006.csv,medium/diagonal_001.csv,1.25849625,1.03786944
large_aws/DiagonalRot_eny_001.csv,medium/diagonal_001.csv,1.25849625,0.55078476
large_aws/DiagonalRot_eny_002.csv,medium/diagonal_001.csv,1.672182014,0.92088982
large_aws/DiagonalRot_eny_004.csv,medium/diagonal_001.csv,1.632192809,0.923934971
large_aws/DiagonalRot_eny_006.csv,medium/diagonal_001.csv,1.670977715,0.969191763
large_aws/Gauss_001.csv,medium/diagonal_001.csv,1.903677461,0.893336114
large_aws/Gauss_002.csv,medium/diagonal_001.csv,1.903677461,0.891301602
large_aws/Gauss_003.csv,medium/diagonal_001.csv,1.903677461,0.889047889
large_aws/Gauss_004.csv,medium/diagonal_001.csv,1.903677461,0.893138837
large_aws/Gauss_005.csv,medium/diagonal_001.csv,1.903677461,0.893198109
large_aws/Gauss_006.csv,medium/diagonal_001.csv,1.903677461,0.89278992
large_aws/Gauss_enx_001.csv,medium/diagonal_001.csv,1.903677461,0.894932907
large_aws/Gauss_enx_002.csv,medium/diagonal_001.csv,1.903677461,0.896688668
large_aws/Gauss_enx_003.csv,medium/diagonal_001.csv,1.793102197,0.889324315
large_aws/Gauss_enx_004.csv,medium/diagonal_001.csv,1.903677461,0.888919081
large_aws/Gauss_enx_005.csv,medium/diagonal_001.csv,1.903677461,0.890424643
large_aws/Gauss_enx_006.csv,medium/diagonal_001.csv,1.903677461,0.89122023
large_aws/Gauss_eny_001.csv,medium/diagonal_001.csv,1.903677461,0.890152829
large_aws/Gauss_eny_002.csv,medium/diagonal_001.csv,1.903677461,0.892545356
large_aws/Gauss_eny_003.csv,medium/diagonal_001.csv,1.903677461,0.88902786
large_aws/Gauss_eny_004.csv,medium/diagonal_001.csv,1.903677461,0.889427245
large_aws/Gauss_eny_005.csv,medium/diagonal_001.csv,1.903677461,0.893802527
large_aws/Gauss_eny_006.csv,medium/diagonal_001.csv,1.903677461,0.890337393
large_aws/Parcel_001.csv,medium/diagonal_001.csv,1.903677461,1.198453562
large_aws/Parcel_002.csv,medium/diagonal_001.csv,1.903677461,1.304666127
