dataset,num_features,num_points,_avg_segments
TIGER2017_COUNTY_simplified_0.001.csv,3233,365590,113.08072997216208
TIGER2017_COUNTY_simplified_1.0E-4.csv,3233,1534627,474.67584287039904
TIGER2017_COUNTY_simplified_1.0E-5.csv,3233,3870287,1197.119393751933
TIGER2017_COUNTY_simplified_5.0E-4.csv,3233,574391,177.6650170120631
TIGER2017_COUNTY_simplified_5.0E-5.csv,3233,2199396,680.2957005876895
TIGER2018_COUSUB_simplified_0.001.csv,36701,1533838,41.79281218495409
TIGER2018_COUSUB_simplified_1.0E-4.csv,36701,5904290,160.87545298493228
TIGER2018_COUSUB_simplified_1.0E-5.csv,36701,16214924,441.81150377373916
TIGER2018_COUSUB_simplified_5.0E-4.csv,36701,2346380,63.93231792049263
TIGER2018_COUSUB_simplified_5.0E-5.csv,36701,8471849,230.83428244462004
